"source_word_id","source_language_id","target_word_id","target_language_id"
"1","2","101","1"
"2","2","102","1"
"3","2","103","1"
"4","2","104","1"
"5","2","105","1"
"6","2","106","1"
"7","2","107","1"
"8","2","108","1"
"9","2","109","1"
"10","2","110","1"
"11","2","111","1"
"12","2","112","1"
"13","2","113","1"
"14","2","114","1"
"15","2","115","1"
"16","2","116","1"
"17","2","117","1"
"18","2","118","1"
"19","2","119","1"
"20","2","120","1"
"21","2","121","1"
"22","2","122","1"
"23","2","123","1"
"24","2","124","1"
"25","2","125","1"
"26","2","126","1"
"27","2","127","1"
"28","2","128","1"
"29","2","129","1"
"30","2","130","1"
"31","2","131","1"
"32","2","132","1"
"33","2","133","1"
"34","2","134","1"
"35","2","135","1"
"36","2","136","1"
"37","2","137","1"
"38","2","138","1"
"39","2","139","1"
"40","2","140","1"
"41","2","141","1"
"42","2","142","1"
"43","2","143","1"
"44","2","144","1"
"45","2","145","1"
"46","2","146","1"
"47","2","147","1"
"48","2","148","1"
"49","2","149","1"
"50","2","150","1"
"51","2","151","1"
"52","2","152","1"
"53","2","153","1"
"54","2","154","1"
"55","2","155","1"
"56","2","156","1"
"57","2","157","1"
"58","2","158","1"
"59","2","159","1"
"60","2","160","1"
"61","2","161","1"
"62","2","162","1"
"63","2","163","1"
"64","2","164","1"
"65","2","165","1"
"66","2","166","1"
"67","2","167","1"
"68","2","168","1"
"69","2","169","1"
"70","2","170","1"
"71","2","171","1"
"72","2","172","1"
"73","2","173","1"
"74","2","174","1"
"75","2","175","1"
"76","2","176","1"
"77","2","177","1"
"78","2","178","1"
"79","2","179","1"
"80","2","180","1"
"81","2","181","1"
"82","2","182","1"
"83","2","183","1"
"84","2","184","1"
"85","2","185","1"
"86","2","186","1"
"87","2","187","1"
"88","2","188","1"
"89","2","189","1"
"90","2","190","1"
"91","2","191","1"
"92","2","192","1"
"93","2","193","1"
"94","2","194","1"
"95","2","195","1"
"96","2","196","1"
"97","2","197","1"
"98","2","198","1"
"99","2","199","1"
"100","2","200","1"
