"value","language_id"
"dkdy","2"
"elro","2"
"xofp","2"
"mybl","2"
"azmv","2"
"alme","2"
"bqah","2"
"kphi","2"
"zmdm","2"
"sqmd","2"
"axmb","2"
"vaps","2"
"pigj","2"
"kzmb","2"
"ksgz","2"
"kvsl","2"
"gtpv","2"
"zjsq","2"
"yvzm","2"
"aimc","2"
"ievf","2"
"olsl","2"
"rdvk","2"
"keid","2"
"bbdn","2"
"xlnx","2"
"ryjc","2"
"kdzo","2"
"ubrp","2"
"wwla","2"
"vgfw","2"
"fjgf","2"
"vsvi","2"
"qlom","2"
"aomt","2"
"lagz","2"
"hvdw","2"
"rrzx","2"
"mtjv","2"
"qmci","2"
"anua","2"
"zbwf","2"
"ipwc","2"
"zqiw","2"
"cris","2"
"todk","2"
"mjca","2"
"zdcy","2"
"ppee","2"
"mwtu","2"
"echn","2"
"mjsd","2"
"owri","2"
"pzmg","2"
"sifi","2"
"piqj","2"
"ndtj","2"
"euqg","2"
"wdrx","2"
"euju","2"
"rlpy","2"
"vznr","2"
"wiit","2"
"cdcz","2"
"culm","2"
"jzsr","2"
"nvue","2"
"jfwc","2"
"ybuu","2"
"fetp","2"
"ruqd","2"
"nmhz","2"
"dolu","2"
"xlgc","2"
"zdmu","2"
"kmnt","2"
"huel","2"
"azsx","2"
"jwjj","2"
"yffw","2"
"cwvl","2"
"ecdw","2"
"oytm","2"
"ibvu","2"
"acdq","2"
"ohvz","2"
"vdca","2"
"eopo","2"
"roab","2"
"ujrh","2"
"udkl","2"
"wymq","2"
"spzw","2"
"knsa","2"
"qany","2"
"oipw","2"
"obuw","2"
"xafj","2"
"duwv","2"
"poue","2"
"йвбк","1"
"зямй","1"
"ыютё","1"
"гилб","1"
"ьрцж","1"
"дижм","1"
"явцм","1"
"зфрк","1"
"тмйэ","1"
"еджх","1"
"юмчн","1"
"вшёъ","1"
"иьыг","1"
"бйян","1"
"йььу","1"
"мзап","1"
"шшпо","1"
"жйщё","1"
"ёекц","1"
"здуц","1"
"лжфн","1"
"кящщ","1"
"тъед","1"
"чнзх","1"
"фдчщ","1"
"рлхю","1"
"рцэд","1"
"чгах","1"
"зхок","1"
"эыио","1"
"еитж","1"
"оеёэ","1"
"впдн","1"
"ржтн","1"
"гыао","1"
"цюмн","1"
"иьеж","1"
"эьзм","1"
"пнге","1"
"рпух","1"
"жйдф","1"
"исшд","1"
"ефвг","1"
"люфи","1"
"жвце","1"
"хыяй","1"
"згве","1"
"хрьф","1"
"мжйм","1"
"ялэи","1"
"жччщ","1"
"еиьь","1"
"уцэн","1"
"ъёоз","1"
"обмё","1"
"иыэз","1"
"ыкцз","1"
"врхе","1"
"цкцй","1"
"хчщд","1"
"йбмж","1"
"хппщ","1"
"ьтыю","1"
"мётс","1"
"жбнг","1"
"ъвцы","1"
"ямэш","1"
"твбх","1"
"жрач","1"
"нцкш","1"
"тдцр","1"
"югюр","1"
"ааёт","1"
"мйыб","1"
"айве","1"
"чдтй","1"
"гтшё","1"
"уоьх","1"
"еагр","1"
"щчож","1"
"яиае","1"
"ломг","1"
"дсшу","1"
"щхяю","1"
"тлпй","1"
"згйа","1"
"цащо","1"
"йёсд","1"
"сткъ","1"
"вохо","1"
"згнп","1"
"эилг","1"
"ьйвк","1"
"ьунв","1"
"цгуй","1"
"пйпо","1"
"кием","1"
"уакн","1"
"цюед","1"
"шбго","1"
